Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_II,v8,0.1,0.5140868225489972,0.3939393939393939,0.29403296703296705,0.9852024280868258,0.9852005667553053,0.4234634952333659,0.4883720930232558,0.42719645897262537,0.9832918731203659,0.9832839545996216
Dataset_II,v8,0.01,0.31317496644125536,0.35555555555555557,0.45739621489621496,0.9796534893586748,0.9796278474089852,0.2937827193592985,0.3067484662576687,0.4701549641815089,0.9795900570641737,0.9795515944732741
Dataset_II,v8,0.001,0.29721761076815106,0.2953020134228188,0.4269104493207942,0.9788906603419203,0.978838154463216,0.3669734464223302,0.25210084033613445,0.47236739643703096,0.985437458665929,0.9853709577670237
Dataset_II,v9,10.0,0.8502086489774778,0.0,0.05,0.9999999999931817,0.9999999999931817,0.8502086489774778,0.0,0.05,0.9999999999931817,0.9999999999931817
Dataset_II,v9,1.0,0.8502086489774778,0.0,0.05,0.9999999999931817,0.9999999999931817,0.6927118365308178,0.18181818181818182,0.145,0.9977533969181596,0.9977533969181596
Dataset_II,v9,0.1,0.3162665295411791,0.463768115942029,0.35084210526315796,0.9817038263891497,0.9817036234510762,0.27045011592001905,0.4782608695652174,0.4467014674480942,0.979957603487715,0.9799474780183243
Dataset_II,v9,0.01,0.2961157989089756,0.30303030303030304,0.3695558520058225,0.9777479254445736,0.9776741684836868,0.3149062943327898,0.3006535947712418,0.418977043524266,0.978203587034228,0.9781104215927967
Dataset_II,v9,0.001,0.32666574224155875,0.272108843537415,0.3544432756533714,0.9782353087818341,0.9781191665647235,0.34857447935913394,0.2527881040892193,0.45224488553859343,0.9816438432887602,0.9815289491311922
Dataset_III,v0,10.0,0.9895194416999455,0.0,0.005,0.9999999999923159,0.9999999999923159,0.9895194416999455,0.0,0.005,0.9999999999923159,0.9999999999923159
Dataset_III,v0,1.0,0.9895194416999455,0.0,0.005,0.9999999999923159,0.9999999999923159,0.8975271175754381,0.18181818181818182,0.10450000000000001,0.997167407419433,0.9971674074194329
Dataset_III,v0,0.1,0.3741900858323881,0.5074626865671642,0.34330000000000005,0.9753369197519594,0.975336919751959,0.26581704436680725,0.7012987012987013,0.5423000000000001,0.9722397284768046,0.9722397284768046
Dataset_III,v0,0.01,0.18229159057831018,0.2598870056497175,0.44220877192982455,0.9642846888796179,0.9642754973553657,0.1974906471847798,0.2457627118644068,0.5325081561373264,0.9669346276960007,0.9669216969012313
Dataset_III,v0,0.001,0.19218160120390976,0.225,0.45914402670302323,0.9644496349575566,0.9644308581816361,0.2694415245804901,0.1953727506426735,0.6687546230531822,0.9751880987825011,0.975165687192495
Dataset_III,v1,10.0,1.14963096448496,0.0,0.005,0.9999999999919817,0.9999999999919817,1.14963096448496,0.0,0.005,0.9999999999919817,0.9999999999919817
Dataset_III,v1,1.0,1.14963096448496,0.0,0.005,0.9999999999919817,0.9999999999919817,1.14963096448496,0.0,0.005,0.9999999999919817,0.9999999999919817
Dataset_III,v1,0.1,0.3937694743072003,0.463768115942029,0.3178891640866874,0.9713939906711304,0.9713930075824482,0.33351433652947426,0.4107142857142857,0.46110000000000007,0.968174867497922,0.9681620032398903
Dataset_III,v1,0.01,0.31735295581857137,0.1895734597156398,0.37831808731808736,0.963308905870285,0.963243695354831,0.36606239998179285,0.20300751879699247,0.4677209801862453,0.9671093926778997,0.9670310320445928
Dataset_III,v1,0.001,0.33111680088418394,0.1693548387096774,0.3705553936551905,0.9632286476759908,0.9631395722693755,0.4013766855580947,0.17142857142857143,0.5742269974090939,0.9729486341347799,0.9728603777697811
Dataset_III,v2,10.0,0.9623889864703975,0.0,0.005,0.9999999999927875,0.9999999999927875,0.9623889864703975,0.0,0.005,0.9999999999927875,0.9999999999927875
Dataset_III,v2,1.0,0.9623889864703975,0.0,0.005,0.9999999999927875,0.9999999999927875,0.8984740064950418,0.07692307692307693,0.0448,0.999070138351648,0.9990701383516478
Dataset_III,v2,0.1,0.4466721816546547,0.4473684210526316,0.34030000000000005,0.9811341606421913,0.9811316937511659,0.41104558064949637,0.2876712328767123,0.37317752752752753,0.9804880912452171,0.9804554340043404
Dataset_III,v2,0.01,0.41789136468921345,0.14479638009049775,0.2748015329542205,0.9795606770215249,0.979452879196607,0.40294311619092743,0.16339869281045752,0.37687523991723787,0.9810808722155847,0.9809752649164687
Dataset_III,v2,0.001,0.4297129213526912,0.13709677419354838,0.2670575740716712,0.9797327051940424,0.9795963786738138,0.4165236348166142,0.13566739606126915,0.482883388849998,0.9836291825567667,0.9835296373803937
